Region,District,Garden,Layout,Floor,Year,Size,Elevator,Direction,Renovation,PerPrice,Price
东城,灯市口,锡拉胡同21号院,3室1厅,6,1988,75.0,无电梯,东西,精装,10.4,780.0
东城,东单,东华门大街,2室1厅,6,1988,60.0,无电梯,南北,精装,11.75,705.0
东城,崇文门,新世界中心,3室1厅,16,1996,210.0,有电梯,南西,其他,6.666666666666667,1400.0
东城,崇文门,兴隆都市馨园,1室1厅,7,2004,39.0,有电梯,南,精装,10.76923076923077,420.0
东城,陶然亭,中海紫御公馆,2室2厅,19,2010,90.0,有电梯,南,精装,11.088888888888889,998.0
东城,广渠门,幸福家园二期,2室1厅,18,2003,111.0,有电梯,南北,其他,10.63063063063063,1180.0
东城,西罗园,西革新里110号院,1室1厅,6,1992,42.0,无电梯,南,其他,7.595238095238095,319.0
东城,西罗园,建予园,2室1厅,16,1999,105.0,有电梯,南,其他,6.095238095238095,640.0
东城,东花市,富贵园一区,3室2厅,9,2003,161.0,有电梯,南北,精装,11.055900621118013,1780.0
东城,东直门,万国城MOMA,2室2厅,25,2002,127.0,有电梯,东北,精装,10.236220472440944,1300.0
东城,工体,十字坡东里,1室1厅,5,1986,37.0,无电梯,南,精装,10.945945945945946,405.0
东城,地安门,帽儿胡同45号院,2室1厅,5,1985,50.0,无电梯,南,其他,14.0,700.0
东城,广渠门,金桥国际,1室1厅,19,2004,54.0,有电梯,西,精装,8.555555555555555,462.0
东城,崇文门,太华公寓,1室0厅,18,2000,64.0,有电梯,西,精装,8.09375,518.0
西城,菜户营,信德园,3室1厅,23,2002,146.0,有电梯,西南,其他,6.575342465753424,960.0
西城,木樨地,西便门外大街,2室0厅,4,1957,50.0,无电梯,东,简装,9.14,457.0
西城,马甸,双旗杆东里,2室1厅,18,1986,58.0,有电梯,西北,简装,10.517241379310345,610.0
西城,马连道,第三区,2房间2卫,18,2011,33.0,有电梯,北,精装,10.303030303030303,340.0
西城,六铺炕,六铺炕二区,3室1厅,17,1990,78.0,有电梯,西南,其他,14.35897435897436,1120.0
